========================================
  TurtleBot4 Wall Follower (RANSAC)    
========================================

[WallFollower] Connected to shared memory segments:
  - /shm_scan
  - /shm_odom
  - /shm_cmd_vel

[WallFollower] Initialized. Target distance: 0.4m.
[WallFollower] Running... Press Ctrl+C to stop

[Control] Distance to wall: 0.418557m | Angle error: -20.5498° | Front clearance: 0.132m
[Control] Distance to wall: 0.418765m | Angle error: -20.8162° | Front clearance: 0.132m
[Control] Distance to wall: 0.418473m | Angle error: -20.6006° | Front clearance: 0.132m
[Control] Distance to wall: 0.418473m | Angle error: -20.6006° | Front clearance: 0.132m
[Control] Distance to wall: 0.418689m | Angle error: -20.5757° | Front clearance: 0.132m
[Control] Distance to wall: 0.418116m | Angle error: -21.1041° | Front clearance: 0.132m
[Control] Distance to wall: 0.418689m | Angle error: -20.5757° | Front clearance: 0.132m
[Control] Distance to wall: 0.417675m | Angle error: -21.1273° | Front clearance: 0.132m
[Control] Distance to wall: 0.418077m | Angle error: -20.9145° | Front clearance: 0.132m
[Control] Distance to wall: 0.417951m | Angle error: -20.7837° | Front clearance: 0.132m
[Control] Distance to wall: 0.418007m | Angle error: -20.967° | Front clearance: 0.132m
[Control] Distance to wall: 0.417951m | Angle error: -20.7837° | Front clearance: 0.132m
[Control] Distance to wall: 0.417914m | Angle error: -21.0648° | Front clearance: 0.132m
[Control] Distance to wall: 0.418385m | Angle error: -20.8207° | Front clearance: 0.132m
[Control] Distance to wall: 0.418385m | Angle error: -20.8207° | Front clearance: 0.132m
[Control] Distance to wall: 0.418198m | Angle error: -20.9046° | Front clearance: 0.132m
[Loop 200] Processing scans...[Control] Distance to wall: 0.417828m | Angle error: -21.1194° | Front clearance: 0.132m
[Control] Distance to wall: 0.417265m | Angle error: -21.1422° | Front clearance: 0.132m
[Control] Distance to wall: 0.417335m | Angle error: -21.133° | Front clearance: 0.132m
[Control] Distance to wall: 0.417335m | Angle error: -21.133° | Front clearance: 0.132m
[Control] Distance to wall: 0.417955m | Angle error: -20.9597° | Front clearance: 0.132m
[Control] Distance to wall: 0.41765m | Angle error: -21.1854° | Front clearance: 0.132m
[Control] Distance to wall: 0.417955m | Angle error: -20.9597° | Front clearance: 0.132m
[Control] Distance to wall: 0.418091m | Angle error: -20.8717° | Front clearance: 0.132m
[Control] Distance to wall: 0.417971m | Angle error: -21.1553° | Front clearance: 0.132m
[Control] Distance to wall: 0.418943m | Angle error: -20.806° | Front clearance: 0.132m
[Control] Distance to wall: 0.418694m | Angle error: -20.8367° | Front clearance: 0.132m
[Control] Distance to wall: 0.418636m | Angle error: -20.5912° | Front clearance: 0.132m
[Control] Distance to wall: 0.419154m | Angle error: -20.8529° | Front clearance: 0.132m
[Control] Distance to wall: 0.418272m | Angle error: -21.1708° | Front clearance: 0.132m
[Control] Distance to wall: 0.418631m | Angle error: -20.9461° | Front clearance: 0.132m
[Control] Distance to wall: 0.418901m | Angle error: -20.8196° | Front clearance: 0.132m
[Control] Distance to wall: 0.418657m | Angle error: -20.8498° | Front clearance: 0.132m
[Control] Distance to wall: 0.418657m | Angle error: -20.8498° | Front clearance: 0.132m
[Control] Distance to wall: 0.418775m | Angle error: -20.8468° | Front clearance: 0.132m
[Control] Distance to wall: 0.418775m | Angle error: -20.8468° | Front clearance: 0.132m
[Loop 220] Processing scans...[Control] Distance to wall: 0.418333m | Angle error: -20.9139° | Front clearance: 0.132m
[Control] Distance to wall: 0.418081m | Angle error: -21.1433° | Front clearance: 0.132m
[Control] Distance to wall: 0.418081m | Angle error: -21.1433° | Front clearance: 0.132m
[Control] Distance to wall: 0.418247m | Angle error: -20.9041° | Front clearance: 0.132m
[Control] Distance to wall: 0.417845m | Angle error: -21.125° | Front clearance: 0.132m
[Control] Distance to wall: 0.418247m | Angle error: -20.9041° | Front clearance: 0.132m
[Control] Distance to wall: 0.418072m | Angle error: -21.1791° | Front clearance: 0.132m
